"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 02:45:56 UTC 2023","Sun Oct 08 02:46:25 UTC 2023","29388","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Oct 08 02:28:04 UTC 2023","Sun Oct 08 02:28:11 UTC 2023","7164","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sun Oct 08 03:38:37 UTC 2023","Sun Oct 08 03:38:40 UTC 2023","2297","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sun Oct 08 02:35:54 UTC 2023","Sun Oct 08 02:36:05 UTC 2023","11031","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sun Oct 08 04:07:41 UTC 2023","Sun Oct 08 04:07:41 UTC 2023","55","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Sun Oct 08 02:50:48 UTC 2023","Sun Oct 08 02:50:51 UTC 2023","2755","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Oct 08 03:27:05 UTC 2023","Sun Oct 08 03:27:07 UTC 2023","1861","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Oct 08 03:15:20 UTC 2023","Sun Oct 08 03:15:22 UTC 2023","2171","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Oct 08 03:35:04 UTC 2023","Sun Oct 08 03:35:47 UTC 2023","43101","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun Oct 08 03:21:32 UTC 2023","Sun Oct 08 03:21:38 UTC 2023","6118","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Oct 08 02:41:58 UTC 2023","Sun Oct 08 02:42:01 UTC 2023","3111","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Oct 08 02:28:11 UTC 2023","Sun Oct 08 02:29:09 UTC 2023","57555","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Oct 08 02:49:34 UTC 2023","Sun Oct 08 02:49:38 UTC 2023","3680","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sun Oct 08 02:54:23 UTC 2023","Sun Oct 08 02:54:36 UTC 2023","12716","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sun Oct 08 02:57:47 UTC 2023","Sun Oct 08 02:57:57 UTC 2023","10137","","6. Company Account","","","","2. Create a Company Account",""
"skipped","Sun Oct 08 02:23:09 UTC 2023","Sun Oct 08 02:23:09 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sun Oct 08 04:01:44 UTC 2023","Sun Oct 08 04:01:50 UTC 2023","5891","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Oct 08 03:38:28 UTC 2023","Sun Oct 08 03:38:37 UTC 2023","9464","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sun Oct 08 04:02:03 UTC 2023","Sun Oct 08 04:02:05 UTC 2023","1524","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sun Oct 08 02:23:09 UTC 2023","Sun Oct 08 02:23:22 UTC 2023","12598","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Oct 08 04:01:24 UTC 2023","Sun Oct 08 04:01:44 UTC 2023","19473","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sun Oct 08 02:55:27 UTC 2023","Sun Oct 08 02:55:28 UTC 2023","557","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Oct 08 02:22:21 UTC 2023","Sun Oct 08 02:22:57 UTC 2023","36300","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Oct 08 03:14:41 UTC 2023","Sun Oct 08 03:14:52 UTC 2023","11143","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Oct 08 02:38:52 UTC 2023","Sun Oct 08 02:39:17 UTC 2023","25114","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Oct 08 02:53:53 UTC 2023","Sun Oct 08 02:54:12 UTC 2023","19126","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Oct 08 04:04:08 UTC 2023","Sun Oct 08 04:04:22 UTC 2023","13857","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Oct 08 02:25:05 UTC 2023","Sun Oct 08 02:25:47 UTC 2023","41954","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Oct 08 02:54:12 UTC 2023","Sun Oct 08 02:54:20 UTC 2023","7691","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Oct 08 03:37:55 UTC 2023","Sun Oct 08 03:37:58 UTC 2023","2987","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Oct 08 02:33:22 UTC 2023","Sun Oct 08 02:33:31 UTC 2023","8977","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sun Oct 08 03:26:50 UTC 2023","Sun Oct 08 03:27:04 UTC 2023","14876","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Oct 08 03:08:16 UTC 2023","Sun Oct 08 03:08:35 UTC 2023","18679","","9. Client Portal - Home","","","","1. Check links",""
